Region,Crop Type,Rainfall (mm),Temperature (°C),Soil pH,Nitrogen (ppm),Sowing Date,Harvest Date,Yield (tons/ha),Soil Type
Solapur,Maize,641.5,25.9,5.7,30.6,2023-07-08,2023-11-30,2.38,Sandy
Latur,Wheat,621.3,31.7,7.3,50.2,2023-01-03,2023-06-11,4.79,Loamy
Satara,Wheat,1037.4,22.1,5.8,36.9,2023-06-03,2023-10-19,3.62,Clay
Satara,Toor,731.3,23.3,7.4,58.6,2023-07-13,2023-10-14,3.53,Clay
Satara,Bajra,1040.6,28.7,6.2,56.9,2023-12-24,2024-05-25,4.73,Sandy
Nashik,Rice,973.3,32.1,7.0,66.3,2023-06-04,2023-09-21,4.66,Clay
Amravati,Bajra,771.3,31.0,5.7,45.6,2023-12-05,2024-03-05,2.5,Sandy
Nagpur,Bajra,948.8,27.8,6.5,56.9,2023-12-16,2024-04-25,2.75,Sandy
Aurangabad,Rice,1265.6,28.4,5.7,35.0,2023-02-25,2023-07-01,3.3,Clay
Ratnagiri,Bajra,792.1,26.4,5.6,63.5,2023-06-03,2023-10-30,3.45,Loamy
Kolhapur,Jowar,812.6,25.2,7.1,51.1,2023-11-23,2024-03-19,5.33,Loamy
Aurangabad,Jowar,1088.7,22.3,6.2,41.6,2023-05-03,2023-08-09,4.09,Loamy
Nagpur,Toor,899.8,27.7,6.9,57.2,2023-01-18,2023-04-20,2.09,Loamy
Solapur,Bajra,462.7,32.6,6.7,50.4,2023-02-08,2023-06-26,3.99,Loamy
Aurangabad,Bajra,674.3,20.9,6.6,51.5,2023-12-09,2024-04-24,3.6,Sandy
Aurangabad,Rice,1086.7,31.8,5.9,34.9,2023-06-04,2023-10-29,5.11,Laterite
Pune,Jowar,969.9,30.3,6.4,65.6,2023-08-08,2023-12-12,4.9,Loamy
Amravati,Maize,968.3,31.1,6.0,40.0,2023-05-15,2023-09-28,2.66,Loamy
Latur,Jowar,504.5,26.5,6.1,32.9,2023-05-06,2023-08-07,5.38,Loamy
Kolhapur,Maize,431.7,27.4,6.4,60.3,2023-07-06,2023-12-05,4.94,Loamy
Latur,Moong,805.9,21.4,5.6,35.1,2023-05-07,2023-10-12,4.56,Sandy
Ratnagiri,Jowar,621.7,20.6,6.5,34.4,2023-01-08,2023-05-24,4.17,Sandy
Ratnagiri,Moong,1038.1,27.4,6.2,48.9,2023-12-16,2024-05-11,4.68,Sandy
Pune,Maize,481.2,30.9,7.5,61.1,2023-09-11,2024-01-13,3.46,Sandy
Latur,Wheat,523.9,30.0,5.6,60.9,2023-02-08,2023-06-20,2.76,Clay
Aurangabad,Rice,818.5,32.4,6.2,61.8,2023-04-10,2023-07-29,3.99,Clay
Latur,Bajra,780.1,23.9,6.8,36.4,2023-04-12,2023-08-27,3.77,Loamy
Ratnagiri,Jowar,679.3,33.7,6.0,49.5,2023-08-04,2024-01-04,2.19,Loamy
Aurangabad,Bajra,705.5,22.2,6.8,54.6,2023-12-07,2024-03-18,3.42,Sandy
Solapur,Toor,751.3,29.7,6.2,47.0,2023-02-09,2023-07-08,5.39,Loamy
Kolhapur,Bajra,469.1,33.2,7.0,32.3,2023-04-06,2023-08-14,3.07,Loamy
Pune,Jowar,877.4,33.6,7.2,34.7,2023-02-07,2023-06-09,2.52,Sandy
Nagpur,Rice,1050.1,21.2,6.6,69.6,2023-10-05,2024-01-18,2.94,Clay
Nagpur,Moong,800.9,34.3,5.8,55.4,2023-10-08,2024-03-01,5.3,Sandy
Nashik,Toor,968.4,32.9,6.1,39.4,2023-02-06,2023-06-11,3.64,Clay
Nagpur,Rice,1236.0,23.8,5.6,39.2,2023-08-11,2024-01-08,2.32,Laterite
Nagpur,Maize,922.6,23.2,7.2,36.2,2023-08-05,2024-01-03,4.49,Loamy
Satara,Bajra,732.7,26.1,6.6,31.7,2023-12-23,2024-04-05,2.86,Sandy
Nashik,Maize,804.0,27.4,6.7,51.0,2023-06-07,2023-10-19,3.92,Loamy
Pune,Wheat,709.5,22.4,6.9,53.8,2023-08-02,2023-12-15,3.18,Clay
Nagpur,Jowar,1006.0,27.5,7.2,35.1,2023-09-03,2024-01-08,2.76,Sandy
Kolhapur,Maize,1091.8,32.3,7.3,43.7,2023-02-04,2023-07-13,3.57,Loamy
Amravati,Rice,868.3,31.5,5.7,60.1,2023-07-04,2023-10-14,4.2,Laterite
Nagpur,Maize,897.3,23.4,5.8,63.4,2023-01-08,2023-06-06,4.56,Sandy
Ratnagiri,Wheat,988.3,30.8,6.4,33.0,2023-05-16,2023-08-31,4.17,Loamy
Pune,Rice,1317.7,32.7,6.9,56.5,2023-05-24,2023-10-10,4.42,Laterite
Solapur,Wheat,959.2,34.0,5.8,41.7,2023-07-19,2023-11-17,3.26,Clay
Nashik,Toor,916.5,20.3,6.5,67.6,2023-03-26,2023-07-26,3.14,Loamy
Latur,Toor,551.2,28.1,5.6,36.3,2023-10-06,2024-03-03,4.23,Loamy
Aurangabad,Jowar,713.7,31.7,5.8,34.3,2023-01-10,2023-06-03,2.24,Sandy
Satara,Wheat,597.9,29.1,7.4,55.1,2023-10-25,2024-03-23,3.43,Clay
Amravati,Bajra,500.8,29.8,5.6,64.8,2023-07-25,2023-12-03,3.77,Sandy
Kolhapur,Maize,612.8,29.5,6.3,36.6,2023-05-06,2023-08-28,2.95,Sandy
Latur,Toor,1048.6,29.9,7.0,50.2,2023-06-01,2023-09-19,4.11,Loamy
Aurangabad,Toor,683.7,29.7,7.0,31.2,2023-06-05,2023-10-21,2.81,Clay
Latur,Rice,922.4,21.8,7.2,51.4,2023-11-27,2024-02-26,4.58,Clay
Satara,Jowar,874.3,30.4,5.5,36.3,2023-02-12,2023-05-19,3.01,Loamy
Kolhapur,Wheat,876.7,31.8,5.5,49.4,2023-05-02,2023-08-24,3.72,Loamy
Aurangabad,Bajra,758.2,32.3,6.5,63.1,2023-07-26,2023-12-09,3.77,Loamy
Aurangabad,Jowar,466.0,23.7,6.1,35.1,2023-04-04,2023-08-03,2.42,Sandy
Amravati,Rice,1125.6,25.5,5.8,50.7,2023-06-22,2023-10-12,5.21,Clay
Latur,Wheat,462.1,25.0,5.8,41.0,2023-02-06,2023-05-29,2.3,Loamy
Latur,Maize,550.5,27.3,6.5,45.3,2023-11-20,2024-04-01,4.73,Sandy
Latur,Maize,913.4,30.2,6.4,43.9,2023-10-21,2024-03-14,4.7,Loamy
Amravati,Wheat,569.1,26.9,7.4,41.7,2023-02-06,2023-05-12,2.18,Clay
Solapur,Rice,1021.2,29.1,5.8,63.3,2023-01-06,2023-05-20,2.33,Clay
Aurangabad,Toor,920.1,29.7,6.9,43.7,2023-04-24,2023-08-13,2.38,Loamy
Nashik,Jowar,744.4,23.7,7.1,30.7,2023-03-08,2023-06-14,2.86,Loamy
Nagpur,Wheat,644.6,30.8,7.2,42.2,2023-06-01,2023-10-28,3.14,Clay
Nagpur,Moong,669.2,30.4,6.6,48.2,2023-07-26,2023-12-29,3.53,Sandy
Nashik,Moong,1068.6,26.8,7.4,62.8,2023-04-04,2023-08-23,3.63,Loamy
Aurangabad,Rice,1264.5,20.8,6.8,30.4,2023-12-08,2024-03-10,4.71,Clay
Aurangabad,Rice,665.9,32.3,6.2,54.0,2023-04-14,2023-09-04,4.93,Laterite
Ratnagiri,Rice,1036.5,24.1,5.5,32.1,2023-11-02,2024-02-18,4.9,Laterite
Kolhapur,Moong,1014.0,23.4,6.1,55.2,2023-08-20,2023-12-02,2.59,Sandy
Nagpur,Maize,1073.8,27.4,5.5,51.6,2023-07-14,2023-12-08,4.01,Sandy
Aurangabad,Toor,1077.3,27.7,7.4,65.6,2023-12-27,2024-05-28,3.88,Clay
Nagpur,Jowar,512.5,25.6,6.5,65.2,2023-09-28,2023-12-27,2.57,Loamy
Aurangabad,Moong,982.5,23.9,7.2,32.9,2023-11-03,2024-04-05,4.98,Sandy
Aurangabad,Wheat,805.3,20.1,6.4,52.4,2023-06-23,2023-10-10,3.62,Loamy
Nashik,Bajra,1087.0,28.5,6.3,65.5,2023-09-14,2024-01-28,3.9,Sandy
Kolhapur,Toor,629.8,30.1,5.9,36.9,2023-05-19,2023-09-18,4.13,Clay
Kolhapur,Maize,870.9,20.8,6.8,34.7,2023-01-18,2023-05-23,5.16,Sandy
Kolhapur,Rice,1149.0,34.7,5.9,67.7,2023-08-05,2024-01-06,4.02,Clay
Pune,Maize,1029.3,33.6,6.9,46.9,2023-12-06,2024-04-16,3.64,Loamy
Amravati,Bajra,1010.6,30.4,6.7,62.7,2023-01-24,2023-05-28,3.02,Sandy
Latur,Bajra,599.4,34.0,6.5,55.1,2023-08-03,2023-12-08,4.34,Loamy
Kolhapur,Maize,989.8,33.4,6.1,56.8,2023-09-02,2023-12-16,4.35,Loamy
Kolhapur,Moong,438.2,23.8,6.1,39.6,2023-07-21,2023-12-12,3.17,Loamy
Nagpur,Wheat,462.0,24.4,6.6,57.7,2023-05-01,2023-08-02,3.44,Loamy
Satara,Rice,1341.3,21.0,7.5,52.2,2023-12-06,2024-04-24,4.09,Laterite
Nashik,Rice,652.2,26.7,6.4,45.3,2023-09-18,2024-01-04,5.47,Clay
Pune,Toor,949.7,20.8,6.4,61.8,2023-03-26,2023-07-10,5.45,Clay
Nashik,Maize,565.4,33.0,7.1,54.9,2023-07-17,2023-11-19,3.63,Loamy
Latur,Maize,455.8,24.3,6.9,56.2,2023-11-22,2024-04-30,5.21,Loamy
Solapur,Toor,435.8,25.3,7.0,42.9,2023-03-24,2023-07-27,3.98,Clay
Aurangabad,Moong,462.8,21.8,6.1,58.6,2023-12-10,2024-05-06,2.02,Loamy
Nashik,Toor,701.2,24.3,5.7,41.0,2023-01-15,2023-06-09,2.45,Loamy
Nashik,Jowar,966.6,23.5,6.3,68.2,2023-10-28,2024-02-04,2.26,Loamy
Solapur,Moong,923.7,29.8,7.2,41.8,2023-04-16,2023-09-08,4.47,Loamy
Solapur,Jowar,458.8,30.0,7.3,36.9,2023-03-02,2023-06-25,4.73,Sandy
Satara,Toor,842.2,33.8,5.5,42.5,2023-01-08,2023-05-22,2.83,Clay
Nashik,Rice,1103.9,32.0,7.3,39.2,2023-12-25,2024-03-27,3.39,Clay
Solapur,Wheat,438.2,31.2,6.5,38.8,2023-08-05,2023-12-28,3.59,Clay
Solapur,Bajra,802.4,30.2,7.3,39.9,2023-06-02,2023-10-19,5.33,Loamy
Ratnagiri,Jowar,1012.8,23.8,7.0,44.4,2023-05-07,2023-10-13,2.25,Loamy
Amravati,Toor,716.7,21.1,6.8,67.2,2023-09-03,2023-12-14,2.97,Loamy
Ratnagiri,Jowar,1031.8,24.5,7.2,35.0,2023-06-08,2023-10-08,5.03,Sandy
Pune,Maize,653.5,25.3,6.9,52.4,2023-09-02,2023-12-04,4.39,Loamy
Nashik,Maize,612.0,24.8,6.8,41.6,2023-12-16,2024-04-22,3.57,Loamy
Pune,Maize,402.2,23.2,5.8,44.3,2023-03-23,2023-08-23,3.69,Loamy
Pune,Jowar,796.6,27.6,6.9,57.2,2023-07-01,2023-11-22,2.98,Loamy
Ratnagiri,Toor,838.5,21.1,6.1,56.1,2023-07-02,2023-11-24,3.68,Clay
Satara,Toor,833.1,35.0,6.8,69.5,2023-05-26,2023-09-13,5.28,Loamy
Ratnagiri,Wheat,425.5,31.4,6.3,34.1,2023-04-09,2023-09-09,4.7,Clay
Solapur,Bajra,633.7,26.3,5.7,63.7,2023-06-12,2023-09-13,3.33,Loamy
Latur,Maize,1037.4,20.5,5.6,47.5,2023-07-11,2023-12-11,2.55,Sandy
Ratnagiri,Wheat,874.9,29.1,5.9,33.1,2023-08-20,2024-01-01,5.43,Clay
Latur,Wheat,673.2,21.6,6.4,69.4,2023-11-19,2024-03-14,5.43,Clay
Pune,Bajra,462.6,33.5,5.6,65.2,2023-05-26,2023-10-14,5.16,Sandy
Solapur,Wheat,877.6,21.1,5.8,50.2,2023-02-13,2023-06-24,5.31,Loamy
Amravati,Bajra,635.4,23.2,5.9,49.5,2023-05-15,2023-10-20,2.63,Loamy
Satara,Rice,703.1,22.4,7.2,35.9,2023-09-03,2024-02-01,2.77,Laterite
Pune,Moong,879.8,29.1,7.5,57.1,2023-11-14,2024-02-24,4.64,Loamy
Solapur,Rice,1014.5,24.3,7.4,45.4,2023-11-21,2024-03-02,3.25,Laterite
