Region,Crop Type,Rainfall (mm),Temperature (°C),Soil pH,Nitrogen (ppm),Sowing Date,Harvest Date,Yield (tons/ha),Soil Type
Haryana,Maize,422.7,22.0,5.8,22.3,2023-03-11,2023-11-13,2.2,Clay
Haryana,Rice,394.9,23.5,7.0,54.9,2023-02-05,2023-09-08,3.6,Loamy
Haryana,Wheat,306.7,29.8,7.0,54.4,2023-01-07,2023-08-19,2.7,Sandy
Punjab,Wheat,592.3,34.9,6.5,58.0,2023-05-18,2023-10-19,3.7,Clay
Punjab,Rice,653.2,22.7,6.3,24.7,2023-05-23,2023-12-09,3.6,Sandy
Rajasthan,Rice,449.2,17.4,5.6,30.8,2023-05-11,2023-07-26,3.3,Clay
Haryana,Rice,592.8,35.0,6.2,20.3,2023-06-02,2023-11-11,4.2,Loamy
Rajasthan,Wheat,340.9,29.2,6.2,28.5,2023-04-10,2023-10-20,5.3,Clay
Haryana,Rice,604.6,33.2,5.9,52.2,2023-06-25,2023-12-21,5.0,Sandy
Haryana,Rice,480.6,32.9,6.5,30.0,2023-04-06,2023-10-01,5.0,Loamy
Rajasthan,Maize,592.4,23.6,7.1,49.6,2023-05-26,2023-10-05,4.8,Clay
Haryana,Rice,690.4,28.7,6.8,41.4,2023-02-13,2023-08-17,3.3,Loamy
Rajasthan,Rice,277.4,34.7,6.6,30.3,2023-02-09,2023-09-23,1.8,Clay
Punjab,Maize,562.6,25.7,5.5,47.5,2023-05-12,2023-09-28,1.6,Sandy
Rajasthan,Wheat,467.6,30.1,6.4,43.5,2023-06-08,2023-08-09,3.4,Clay
Rajasthan,Maize,667.9,25.1,7.1,52.5,2023-04-01,2023-12-28,1.5,Sandy
Haryana,Maize,779.9,34.0,6.2,28.0,2023-03-09,2023-10-21,3.0,Loamy
Haryana,Maize,563.5,15.0,7.1,25.9,2023-05-05,2023-12-01,5.1,Sandy
Haryana,Maize,688.9,32.1,7.2,39.8,2023-05-13,2023-12-24,1.9,Clay
Haryana,Rice,394.3,20.8,7.1,22.8,2023-06-12,2023-09-17,2.0,Clay
Rajasthan,Maize,593.8,24.0,5.8,30.8,2023-03-15,2023-10-16,3.9,Sandy
